講義コード,講義名,講義名（英語）,科目種別コード,科目コード,科目名,分野系列コード,分野系列名,単位数,講義期間コード,講義期間,履修年度,開講所属コード,開講所属
23535771,専門英語,Expert English,,,,015301,言語文化基礎科目,1,20,後期,2025,001,基幹教育科目
23856004,Engagement with Internship Ⅱ,Engagement with Internship Ⅱ,,,,850002,Subjects for Social Practice,1,93,後期集中,2024,003,基幹教育（国際コース）
24530501,キャリアのための自己探求学,Self-discovery for career design,,,,015800,高年次基幹教育科目,1,92,前期集中,2024,001,基幹教育科目
24530502,実践データサイエンス入門,Practical introduction to Data Science,,,,015720,オープン科目,1,14,夏学期,2024,001,基幹教育科目
24530503,アントレプレナーシップ・戦略論基礎,Basic Entrepreneurship Strategic Theory,,,,015800,高年次基幹教育科目,1,14,夏学期,2024,001,基幹教育科目
24530504,イノベーション・マネジメント,Innovation Management,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530505,企業と創るアイディアソン・ハッカソン演習,Co-creation Practice with Industry on Ideathon / Hackathon,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530506,Global Seminar (English),Global Seminar (English),,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530507,テクノロジー・マーケティング・ゲーム,Technology Marketing Game,,,,015720,オープン科目,2,14,夏学期,2024,001,基幹教育科目
24530508,アントレプレナーシップ・組織論応用,Applied Entrepreneurship Organization,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530509,デジタル工作入門,Digital Fabrication Tutorial,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530510,デザイン思考演習,Design Thinking Project,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530511,ニュービジネス・クリエーション-ビジネス・プランニング-,New Business Creation,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530512,Entrepreneurial Intention,Entrepreneurial Intention,,,,015720,オープン科目,1,92,前期集中,2024,001,基幹教育科目
24530513,アントレプレナーシップ・組織論基礎,Basic Entrepreneurship Organization Science,,,,015800,高年次基幹教育科目,1,93,後期集中,2024,001,基幹教育科目
24530514,ＱＲＥＣインターンシップ,QREC Internship,,,,015720,オープン科目,2,91,通年集中,2024,001,基幹教育科目
24530515,テクノロジー・マーケティング・ゲーム,Technology Marketing Game,,,,015720,オープン科目,2,23,秋学期,2024,001,基幹教育科目
24530516,アントレプレナーシップ・キャリアデザイン,Entrepreneurship Career Design,,,,015720,オープン科目,2,23,秋学期,2024,001,基幹教育科目
24530517,キャリアのための自己探求学,Self-discovery for career design,,,,015800,高年次基幹教育科目,1,93,後期集中,2024,001,基幹教育科目
24530518,Technology Marketing Game (English),Technology Marketing Game,,,,015720,オープン科目,2,24,冬学期,2024,001,基幹教育科目
24530519,アントレプレナーシップ・マーケティング基礎,Basic Entrepreneurship Marketing,,,,015800,高年次基幹教育科目,1,24,冬学期,2024,001,基幹教育科目
24530701,Modern History of Japan Ⅱ,Modern History of Japan Ⅱ,,,,015720,オープン科目,2,10,前期,2024,001,基幹教育科目
